title_id,parent_title_id,season_number,episode_number
tt0518033,tt0203248,1,1
tt0581410,tt0043199,\N,\N
tt0644476,tt0050037,2,12
tt0707661,tt0244364,1,24
tt0771325,tt0490042,1,8
tt0835626,tt0484241,\N,\N
tt0900065,tt0106087,1,16
tt1004963,tt0391666,1,157
tt10158780,tt8661502,1,178
tt10267854,tt6511918,\N,\N
tt10377176,tt0242750,2,202
tt10486284,tt0083397,1,250
tt10595396,tt6283472,4,4
tt10703584,tt8004814,2,4
tt10811410,tt5951162,\N,\N
tt11027392,tt6225166,4,3
tt1319543,tt0321020,\N,\N
tt1384481,tt0189296,7,9
tt1448965,tt1316556,1,53
tt1513535,tt1308087,1,10
tt1578322,tt0970802,\N,\N
tt1642858,tt0043224,3,29
tt1903289,tt1827830,1,57
tt1968111,tt0267189,\N,\N
tt2097181,tt1091982,\N,\N
tt2164424,tt2150740,1,7
tt2305737,tt0930831,\N,\N
tt2376899,tt0395043,\N,\N
tt2648820,tt1160426,1,241
tt2797098,tt2786624,1,3
tt3095526,tt2828570,1,14
tt3240510,tt1124373,6,13
tt3528294,tt3510864,1,17
tt3672860,tt0321019,12,148
tt3814770,tt2709022,1,1
tt3953780,tt2932116,3,14
tt4092002,tt1132118,1,27
tt4231964,tt3038546,1,5
tt4370498,tt4364402,\N,\N
tt4509262,tt4380324,1,1
tt4649082,tt4633928,1,2
tt4791082,tt3472768,1,26
tt4930846,tt4911494,1,2
tt5070664,tt5034898,1,89
tt5351230,tt0278212,1,108
tt5488170,tt0048860,1,1720
tt5627708,tt5619630,1,45
tt5768918,tt5163450,2,7
tt5909012,tt1166371,\N,\N
tt6047558,tt0115227,21,17
tt6186522,tt1372153,2,3
tt6598770,tt6409450,1,10
tt6732506,tt4269458,1,5
tt6872022,tt0103434,1,3356
tt7005592,tt1166709,13,13
tt7138304,tt7112640,1,1
tt7271696,tt1820803,3,75
tt7537824,tt7534376,1,6
tt7671360,tt7594402,1,7
tt7804128,tt0208617,1,959
tt8203872,tt0213360,1,293
tt8336590,tt2322438,6,112
tt8467828,tt4051646,1,11
tt8601388,tt0819739,1,17
tt8735114,tt0166223,1,5
tt8867290,tt6854902,\N,\N
tt8998108,tt5597084,10,48
tt9130640,tt3651112,\N,\N
tt9261852,tt2518480,4,14
tt9392346,tt2070564,\N,\N
tt9523380,tt7414430,1,386
tt9655644,tt0366041,1,67
tt9786032,tt7963680,1,248
tt9916790,tt5189940,12,14
